word,n
enjoy,36
except,36
gate,36
gates,36
grand,36
guap,36
henny,36
jones,36
kings,36
l.a,36
lightning,36
limit,36
messed,36
models,36
monday,36
named,36
nigga's,36
panties,36
personal,36
plain,36
planet,36
religion,36
riches,36
shopping,36
signed,36
snake,36
soda,36
soldier,36
summertime,36
ta,36
taylor,36
tennessee,36
throne,36
todo,36
touched,36
travel,36
veins,36
vida,36
watched,36
whoever,36
wonderin,36
wreck,36
you's,36
youth,36
billie,35
bottoms,35
bowl,35
closet,35
cooler,35
dawgs,35
di,35
doctor,35
fantasy,35
force,35
fourth,35
holes,35
laurent,35
lets,35
luke,35
mattress,35
mexico,35
ne,35
neighbors,35
others,35
perry,35
quiero,35
rihanna,35
servin,35
she'd,35
sleeve,35
spending,35
st,35
steps,35
strength,35
stripes,35
turnt,35
twist,35
ugh,35
voices,35
ahh,34
art,34
basic,34
beyond,34
breakfast,34
breathing,34
broads,34
buyin,34
cartier,34
chances,34
changes,34
comfortable,34
compare,34
covered,34
crossed,34
cuz,34
daily,34
dat,34
direction,34
dive,34
falls,34
fears,34
fence,34
fever,34
flash,34
fox,34
gift,34
globe,34
gunna,34
halo,34
hammer,34
hoodie,34
hook,34
itâ,34
jewels,34
keith,34
kevin,34
khalifa,34
knockin,34
lamb,34
laying,34
lemme,34
marry,34
mercy,34
nada,34
nation,34
nothing's,34
o'clock,34
quavo,34
ratchet,34
rep,34
scratch,34
silly,34
southside,34
spell,34
station,34
swimming,34
tec,34
thighs,34
tote,34
trapped,34
uber,34
versace,34
weapon,34
wolf,34
woulda,34
80,33
advance,33
ahora,33
amor,33
average,33
beg,33
beyoncã,33
bible,33
birkin,33
butter,33
casket,33
chosen,33
commas,33
desert,33
dre,33
driveway,33
du,33
eating,33
et,33
fist,33
freeze,33
ill,33
kicked,33
kicks,33
kim,33
language,33
leaves,33
liar,33
lungs,33
mans,33
often,33
poison,33
pouring,33
projects,33
pure,33
purpose,33
rã,33
revenge,33
rule,33
salt,33
scary,33
screen,33
shape,33
slidin,33
spanish,33
staying,33
strangers,33
stretch,33
strings,33
thou,33
tick,33
ties,33
trick,33
tripping,33
twin,33
views,33
visit,33
wasting,33
yung,33
aye,32
bã,32
bent,32
body's,32
buck,32
cage,32
candle,32
careful,32
chevy,32
chrome,32
circles,32
coulda,32
cowboy,32
crawl,32
cruise,32
disco,32
dolla,32
dot,32
drawers,32
driver,32
eazy,32
ended,32
ese,32
esta,32
eyed,32
figures,32
gives,32
group,32
hoe,32
hoppin,32
iced,32
iron,32
johnny,32
kissin,32
lebron,32
lettin,32
likeâ,32
love's,32
lyrics,32
master,32
medicine,32
natural,32
nick,32
path,32
perc,32
return,32
rewind,32
rising,32
rub,32
scale,32
ser,32
shit's,32
shook,32
showing,32
slept,32
slippin,32
spray,32
stackin,32
steel,32
stove,32
strike,32
swerve,32
tattoo,32
wildin,32
younger,32
zero,32
argue,31
beam,31
bells,31
bien,31
bop,31
bougie,31
brains,31
bugatti,31
bunny,31
buried,31
buying,31
carter,31
catchin,31
competition,31
complicated,31
damage,31
due,31
evening,31
fate,31
figured,31
flows,31
ford,31
fortune,31
geeked,31
god's,31
grande,31
hug,31
hung,31
layin,31
logic,31
malone,31
mama's,31
melody,31
millionaire,31
minds,31
mink,31
mothafuckin,31
mula,31
notes,31
nunca,31
orange,31
ourselves,31
painted,31
palm,31
parents,31
pinky,31
pluto,31
pose,31
poured,31
prayer,31
queens,31
relate,31
release,31
score,31
shits,31
sir,31
slap,31
speakers,31
speaking,31
stops,31
suckin,31
thuggin,31
ti,31
vip,31
williams,31
44,30
ariana,30
backseat,30
bando,30
beggin,30
blink,30
breeze,30
bubble,30
bull,30
cigarettes,30
click,30
colder,30
dealer,30
demon,30
ease,30
flippin,30
g's,30
goals,30
hahaha,30
hol,30
jane,30
kodak,30
lion,30
mille,30
opened,30
options,30
ovo,30
parking,30
perfume,30
pissed,30
pounds,30
puff,30
q,30
rack,30
rage,30
remix,30
rider,30
seal,30
selena,30
shaking,30
situation,30
souls,30
string,30
sunset,30
swift,30
thanks,30
tires,30
twitter,30
ty,30
usher,30
victim,30
woods,30
world's,30
accept,29
alcohol,29
apologize,29
automatic,29
backwards,29
backyard,29
billion,29
bridge,29
cherry,29
chicks,29
clue,29
cuts,29
des,29
dos,29
excited,29
false,29
feat,29
fed,29
genius,29
givenchy,29
grammy,29
grill,29
hoo,29
inâ,29
intentions,29
join,29
kane,29
karma,29
kissing,29
kitty,29
lazy,29
lobby,29
madness,29
man's,29
metal,29
ni,29
odds,29
phones,29
players,29
pro,29
project,29
recognize,29
ricky,29
rod,29
route,29
sã­,29
shoe,29
slave,29
smilin,29
snatch,29
solid,29
square,29
status,29
steppin,29
sunny,29
tech,29
tennis,29
they'd,29
thirsty,29
tuck,29
where's,29
wifey,29
winning,29
worldwide,29
yuh,29
28,28
29,28
animals,28
bail,28
balvin,28
believed,28
belly,28
beneath,28
brings,28
buddy,28
classic,28
closing,28
culture,28
darkest,28
